Grapheme	IPA
$	NULL
S	s
^	NULL
^S	s
^b	b
^bv	bv
^d	d
^dz	dz
^dʑ	dʑ
^dʒ	dʒ
^f	f
^h	h
^hn̩³³	h n̩ ³³ +
^hn̩ʔ⁵⁵	h n̩ ⁵⁵ +
^j	j
^k	k
^kʰ	kʰ
^l	l
^m	m
^n	n
^n̩	n n̩
^p	p
^pf	pf
^pfʰ	pfʰ
^pʰ	pʰ
^s	s
^t	t
^ts	ts
^tsʰ	tsʰ
^tç	tɕ
^tɕ	tɕ
^tɕʰ	tɕʰ
^tʃ	tʃ
^tʃʰ	tʃʰ
^tʑ	tʑ
^tʒ	tʒ
^tʰ	tʰ
^u	u
^ua	w a
^v	v
^w	w
^x	x
^ya	ɥ a
^yi	ɥ i
^z	z
^ç	ɕ
^ŋ	ŋ
^ȵ	ȵ
^ɕ	ɕ
^ɡ	g
^ɣ	ɣ
^ɨ	ɨ
^ɯ	ɯ
^ɱ	ɱ
^ɿ	ɿ
^ʃ	ʃ
^ʑ	ʑ
^ʒ	ʒ
^ʔ	ʔ
^ʔj	ˀj
^ʔl	ˀl
^ʔm	ˀm
^ʔn	ˀn
^ʔn̩	ˀn n̩
^ʔy	ˀɥ
^ʔŋ	ˀŋ
^ʔȵ	ˀȵ
^ʔɨ̪nai²¹	ʔ ɨ ⁰ + n ai ²¹
^̠_	NULL
^̪_	NULL
_	NULL
_$	NULL
__	NULL
__$	NULL
___	NULL
___$	NULL
_̠	NULL
_̠$	NULL
_̩	NULL
_̩$	NULL
_̪	NULL
a	a
ai	ai
a̠	a̠/a
a̠i	a̠i/ai
b	b
bv	bv
d	d
dz	dz
dʑ	dʑ
dʒ	dʒ
e	e
ei	ei
e̠	e̠/e
f	f
h	h
hn̩ʔ⁵⁵	h n̩ ⁵⁵
i	i
ia	j a
ia̠	j a̠
ie	j e
iou	j ou
iu	j u
iã	j ã
iæ̠	j æ̠
iõ	j õ
iũ	j ũ
iɑu	j ɑu
iɔu	j ɔu
iɛ	j ɛ
iɛ̃	iɛ̃
iɛ̠	j ɛ̠
iɯ	j ɯ
j	j
k	k
kʰ	kʰ
l	l
m	m
mũkʰa⁵⁵	m ũ ⁰ + kʰ a ⁵⁵
n	n
nai²¹	n ai ²¹
n̩	n n̩
o	o
ou	ou
o̠	o̠/o
o̠u	o̠u/ou
p	p
pf	pf
pfʰ	pfʰ
pfʰɨ⁵⁵̪̠	pfʰ ɨ ⁵⁵ +
pfʰɨ⁵⁵̪̠$	pfʰ ɨ ⁵⁵
pʰ	pʰ
s	s
t	t
tcʰ	tɕʰ
ts	ts
tsʰ	tsʰ
tɕ	tɕ
tɕʰ	tɕʰ
tʃ	tʃ
tʃʰ	tʃʰ
tʰ	tʰ
u	u
ua	w a
uai	w ai
ua̠	w a̠
uo	w o
uã	w ã
uɔ	w ɔ
uɛi	w ɛi
uɛ̠	w ɛ̠
u̠	u̠/u
v	v
w	w
x	x
y	y
ya	ɥ a
ye	ɥ e
yi	ɥ i
yæ̠	ɥ æ̠
yɛ	ɥ ɛ
z	z
²²	²² +
²³²	²³² +
²³²$	²³²
²¹	²¹ +
²¹$	²¹
²¹³	²¹³ +
²¹³$	²¹³
²¹³̪	²¹³ +
²¹̠	²¹ +
²¹̠$	²¹
²¹̪	²¹ +
²¹̪$	²¹
²¹̺	²¹ +
²¹̺$	²¹
²¹⁵	²¹⁵ +
²¹⁵$	²¹⁵
³	³ +
³$	³
³³	³³ +
³³$	³³
³³̠	³³ +
³³̠$	³³
³³̪	³³ +
³³̪$	³³
³⁵	³⁵ +
³⁵$	³⁵
¹	¹ +
ã	ã
ãi	ãi
ã̠	ã̠/ã
æ	æ
æ̠	æ̠/æ
ç	ɕ
õ	õ
õ̠	õ̠/õ
ĩ	ĩ
ŋ	ŋ
ũ	ũ
ȵ	ȵ
ɑu	ɑu
ɑ̠	ɑ̠/ɑ
ɕ	ɕ
ɕya	ɕ ɥ a
ɛ	ɛ
ɛi	ɛi
ɛ̃	ɛ̃
ɛ̠	ɛ̠/ɛ
ɛ̠i	ɛ̠i/ɛi
ɡ	g
ɣ	ɣ
ɤ	ɤ
ɤ̃	ɤ̃
ɤ̠	ɤ̠/ɤ
ɤ̪	ɤ̪/ɤ
ɨ	ɨ
ɨ̪	ɨ̪/ɨ
ɯ	ɯ
ɯ̃	ɯ̃
ɯ̠	ɯ̠/ɯ
ɱ	ɱ
ɿ	ɿ
ʃ	ʃ
ʑ	ʑ
ʒ	ʒ
ʔ	ʔ
ʔa²¹	ʔ a ²¹ +
ʔa²¹$	ʔ a ²¹
ʔj	ˀj
ʔl	ˀl
ʔm	ˀm
ʔn	ˀn
ʔn̩	ˀn n̩
ʔy	ˀɥ
ʔŋ	ˀŋ
ʔȵ	ˀȵ
̠_	NULL
̪_	NULL
⁴⁵	⁴⁵ +
⁵⁵	⁵⁵ +
⁵⁵$	⁵⁵
⁵⁵_	⁵⁵ +
⁵⁵_$	⁵⁵
⁵⁵_̠	⁵⁵
⁵⁵̠	⁵⁵ +
⁵⁵̠$	⁵⁵
⁵⁵̠_	⁵⁵ +
⁵⁵̪	⁵⁵ +
⁵⁵̪$	⁵⁵
